10316;Roy Blakeley's Adventures in Camp;Percy Keese Fitzhugh;November 26, 2003 
10317;Betty Gordon at Boarding School;Alice Emerson;November 27, 2003
10318;Damon and Delia;William Godwin;November 27, 2003
10319;Dave Darrin's Third Year at Annapolis;H. Irving Hancock;November 27, 2003
10320;Dotty Dimple at Play;Sophie May;November 27, 2003
10321;Dragon's blood;Henry Milner Rideout;November 27, 2003
10322;Miss Prudence;Jennie Maria (Drinkwater) Conklin;November 27, 2003
10323;The Rover Boys at College;Edward Stratemeyer;November 27, 2003
10324;Bull Hunter;Max Brand;November 27, 2003
10325;The Gospel of the Pentateuch;Charles Kingsley;November 27, 2003 
10326;David;Charles Kingsley;November 27, 2003 
10327;Alias The Lone Wolf;Louis Joseph Vance;November 29, 2003
10328;Poems;Walter R. Cassels;November 29, 2003
10329;Snubby Nose and Tippy Toes;Laura Rountree Smith;November 29, 2003
10330;Fruitfulness;Emile Zola;March 17, 2009
10331;The Mirror of Literature, Amusement, and Instruction;Various;November 29, 2003
10332;The Mirror of Literature, Amusement, and Instruction;Various;November 29, 2003
10333;The European Anarchy;G. Lowes Dickinson;November 29, 2003
10334;Van 't  viooltje dat weten wilde;Maria Catherina Metz-Koning (1864-1926);November 29, 2003
10335;Children's Rights and Others;Kate Douglas Smith Wiggin;November 29, 2003
10336;A Select Collection of Old English Plays, Vol. VII (4th edition);Various;November 29, 2003 
10337;Lady Into Fox;David Garnett;November 29, 2003 
10338;With the Turks in Palestine;Alexander Aaronsohn;November 30, 2003
10340;Dab Kinzer;William O. Stoddard;November 30, 2003
10341;The Great Events by Famous Historians, Vol. 21;Charles F. Horne, Editor;November 30, 2003
10342;The Velvet Glove;Henry Seton Merriman;November 30, 2003
10343;The Works of Charles and Mary Lamb, Volume 2;Charles Lamb;November 30, 2003 
10346;C'Etait ainsi...;Cyriel Buysse;December 1, 2003
10348;Audio: Go to Sea Once More;Roger McGuinn;January 8, 2004 
10349;Naar het middelpunt der Aarde;Jules Gabriel Verne (1828-1905);December 1, 2003
10350;The Works of Samuel Johnson, Vol. 6;Samuel Johnson;December 1, 2003
10351;The Works of Samuel Johnson, Vol. 10.;Samuel Johnson;December 1, 2003
10352;The Works of Samuel Johnson, Vol. 11.;Samuel Johnson;December 1, 2003
10353;Satyros oder Der vergoetterte Waldteufel;J.W. Goethe;December 1, 2003
10354;Die Laune des Verliebten;J.W. Goethe;December 1, 2003
10355;Travels in Morocco, Vol. 1.;James Richardson;December 1, 2003
10356;Travels in Morocco, Vol. 2.;James Richardson;December 1, 2003
10357;Life Of Johnson, Volume 4 (of 6);Boswell;December 1, 2003
10358;The Boss of Little Arcady;Harry Leon Wilson;December 1, 2003
10359;Aunt Jane's Nieces at Millville;Edith Van Dyne;December 1, 2003 
10360;Kitty's Class Day And Other Stories;Louisa M. Alcott;December 1, 2003 
10361;The Creative Process in the Individual;Thomas Troward;December 1, 2003 
10362;Sketches of the East Africa Campaign;Robert Valentine Dolbey;December 1, 2003 
10363;The Bravo;J. Fenimore Cooper;December 1, 2003
10364;Yeast: A Problem;Charles Kingsley;December 2, 2003 
10366;Freedom's Battle;Mahatma Gandhi;December 2, 2003
